,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,3,Fosvarsspiller,U13,12,Højre,6,1,Warmup/Klip_3\Klip_3_1.mp4,highest free man,18.094674000050873
1,3,Fosvarsspiller,U13,12,Højre,6,1,Warmup/Klip_2\Klip_2_2.mp4,switch play,7.345193999935873
2,3,Fosvarsspiller,U13,12,Højre,6,1,Warmup/Klip_1\Klip_1_1.mp4,false link out,26.27534949989058
3,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_86\Klip_86_3.mp4,switch play,7.5368268000893295
4,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_24\Klip_24_2.mp4,switch play,4.3830721999984235
5,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_8\Klip_8_2.mp4,link out,11.10239170002751
6,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_72\Klip_72_1.mp4,switch play,5.822434699977748
7,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_45\Klip_45_3.mp4,switch play2,11.466107100015506
8,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_58\Klip_58_3.mp4,switch play2,4.544262300012633
9,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_14\Klip_14_1.mp4,switch play2,9.315558700007387
10,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_60\Klip_60_3.mp4,false link out,14.075909800012596
11,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_12\Klip_12_2.mp4,switch play,14.593579200096428
12,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_84\Klip_84_4.mp4,false switch play,7.548988699913025
13,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_32\Klip_32_3.mp4,false highest free man,13.360839499975555
14,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_71\Klip_71_3.mp4,switch play,14.703211499960162
15,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_43\Klip_43_2.mp4,switch play,8.854581799940206
16,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_28\Klip_28_3.mp4,switch play2,8.416830800008029
17,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_38\Klip_38_1.mp4,highest free man,10.778936399961822
18,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_57\Klip_57_2.mp4,switch play,7.990079000010155
19,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_83\Klip_83_4.mp4,false highest free man,3.866334000020288
20,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_23\Klip_23_2.mp4,switch play,11.102349700056948
21,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_89\Klip_89_4.mp4,false highest free man,17.658432600088418
22,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_15\Klip_15_1.mp4,highest free man,6.227289000060409
23,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_5\Klip_5_1.mp4,highest free man,7.402888900018297
24,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_75\Klip_75_1.mp4,false pass it over,15.354086700011976
25,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_92\Klip_92_3.mp4,false link out,17.786718799965456
26,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_62\Klip_62_2.mp4,switch play2,10.09811250003986
27,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_17\Klip_17_2.mp4,link out,6.3037844999926165
28,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_77\Klip_77_2.mp4,link out2,3.522815200034529
29,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_91\Klip_91_3.mp4,switch play2,7.721997300046496
30,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_65\Klip_65_2.mp4,switch play,7.998056299984455
31,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_13\Klip_13_1.mp4,highest free man2,7.600853899959475
32,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_21\Klip_21_2.mp4,switch play,7.6983204000862315
33,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_39\Klip_39_3.mp4,switch play2,6.954604099970311
34,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_59\Klip_59_1.mp4,highest free man2,12.972429100074805
35,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_30\Klip_30_1.mp4,switch play,5.7258998999604955
36,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_64\Klip_64_2.mp4,switch play,16.271725400001742
37,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_26\Klip_26_1.mp4,highest free man,5.595213999971747
38,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_85\Klip_85_4.mp4,pass it over,14.436625199974515
39,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_27\Klip_27_1.mp4,highest free man2,19.241222099983133
40,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_55\Klip_55_2.mp4,link out,18.884741900023073
41,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_88\Klip_88_4.mp4,false switch play,5.894281799905002
42,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_80\Klip_80_3.mp4,switch play2,3.7251175000565127
43,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_93\Klip_93_3.mp4,switch play,3.131918300059624
44,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_7\Klip_7_1.mp4,link out,3.9617168999975547
45,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_78\Klip_78_1.mp4,link out,12.769846400013193
46,3,Fosvarsspiller,U13,12,Højre,6,1,Pictures/Klip_74\Klip_74_1.mp4,highest free man,4.565186399966478
