,Number,Position,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,6,Midtbanespiller,14,Højre,8,4,Warmup/Klip_3/Klip_3.mp4,Highest free man false ,2.705409249989316
1,6,Midtbanespiller,14,Højre,8,4,Warmup/Klip_2/Klip_2.mp4,Passing over the opponent,1.1838463329768274
2,6,Midtbanespiller,14,Højre,8,4,Warmup/Klip_1/Klip_1.mp4,Higest free man,1.108284583024215
3,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_33/Klip_33.mp4,Solution 1 - highest free man,0.9197079159785062
4,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_16/Klip_16.mp4,Solution 1 - switch play,4.987119124998571
5,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_5/Klip_5.mp4,Switching false,3.6511499999905936
6,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_22/Klip_22.mp4,Solution 4 - false,2.3929078340006527
7,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_27/Klip_27.mp4,Solution 3 - highest free man,1.7397692080121487
8,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_39/Klip_39.mp4,Solution 2 - switch play,2.127834833023371
9,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_21/Klip_21.mp4,Solution 3 - false,3.0831071250140667
10,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_9/Klip_9.mp4,Solution 4 - false,2.015057415992487
11,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_12/Klip_12.mp4,Solution 3 - false,7.06430112500675
12,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_26/Klip_26.mp4,Solution 1 - highest free man,2.021883874986088
13,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_36/Klip_36.mp4,Solution 2 - switch play,1.2290778330061585
14,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_29/Klip_29.mp4,Solution 1 - highest free man,3.1813343329995405
15,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_18/Klip_18.mp4,Solution 2 - false,7.062043209007243
16,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_20/Klip_20.mp4,Solution 1 - highest free man,10.112063166016014
17,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_1/Klip_1.mp4,Higest free man,4.193013459007489
18,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_38/Klip_38.mp4,Solution 1 - highest free man,0.9724506660131738
19,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_19/Klip_19.mp4,Solution 3 - switch play,2.1396632499818224
20,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_13/Klip_13.mp4,Solution 4 - switch play,7.163853874983033
21,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_15/Klip_15.mp4,Solution 1 - highest free man,2.4136760830006097
22,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_14/Klip_14.mp4,Solution 4 - switch play,2.359515124990139
23,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_34/Klip_34.mp4,Solution 3 - pass it over,12.056383291987004
24,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_37/Klip_37.mp4,Solution 3 - highest free man,1.889686416980112
25,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_35/Klip_35.mp4,Solution 1 - Highest free man,0.9100256669917144
26,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_40/Klip_40.mp4,Solution 2 - link out,1.25201141598518
27,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_2/Klip_2.mp4,Link,0.6137610000150744
28,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_31/Klip_31.mp4,Solution 1 - highest free man,2.3068968750012573
29,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_17/Klip_17.mp4,Solution 1 - link out,1.9565179999917746
30,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_7/Klip_7.mp4,Solution 3 - link out,20.245337083004415
31,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_8/Klip_8.mp4,Solution 3 - switch play,1.262548084021546
32,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_4/Klip_4.mp4,Passing over the opponent,3.46522433400969
33,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_3/Klip_3.mp4,Highest free man false ,1.2277224170102272
34,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_25/Klip_25.mp4,Solution 1 - highest free man,0.7408632909937296
35,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_23/Klip_23.mp4,Solution 4 - false,1.126558667019708
36,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_28/Klip_28.mp4,Solution 2 - swich play,6.189567875000648
37,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_30/Klip_30.mp4,Solution 2 - highest free man,0.8009246659930795
38,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_32/Klip_32.mp4,Solution 3 - switch play,2.1351889169891365
39,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_6/Klip_6.mp4,Solution 3 - link out  ,2.230809667002177
40,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_11/Klip_11.mp4,Solution 1 - link out,2.0508777079812717
41,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_10/Klip_10.mp4,Solution 4 - link out,3.78847162501188
42,6,Midtbanespiller,14,Højre,8,4,Pictures/Klip_24/Klip_24.mp4,Solution 2 - switch play,2.0509429999801796
