,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Warmup/Klip_1\Klip_1_1.mp4,link out,2.9780173000181094
1,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Warmup/Klip_3\Klip_3_1.mp4,link out,1.4627290000207722
2,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Warmup/Klip_2\Klip_2_2.mp4,link out,3.3360721000353806
3,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_26\Klip_26_1.mp4,switch play,2.0834519999916665
4,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_85\Klip_85_4.mp4,pass it over,1.6751372999860905
5,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_10\Klip_10_1.mp4,link out,3.6350817999918945
6,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_23\Klip_23_2.mp4,switch play2,1.9867422999814153
7,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_36\Klip_36_1.mp4,highest free man,2.6664178000064567
8,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_59\Klip_59_1.mp4,highest free man,1.0001180000253953
9,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_57\Klip_57_2.mp4,switch play2,2.413663000043016
10,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_75\Klip_75_1.mp4,switch play,1.4360864000045694
11,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_28\Klip_28_3.mp4,switch play2,1.33987069997238
12,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_72\Klip_72_1.mp4,switch play ,2.6844984000199474
13,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_30\Klip_30_1.mp4,false highest free man,1.7081026999512687
14,64,Fosvarsspiller,Førsteholdet,23,Højre,7,5,Pictures/Klip_21\Klip_21_2.mp4,switch play,1.3972653000382707
