,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,74,Fosvarsspiller,U14,13,Højre,3,2,Warmup/Klip_3\Klip_3.mp4,Link,1.2190795000060461
1,74,Fosvarsspiller,U14,13,Højre,3,2,Warmup/Klip_1\Klip_1.mp4,Link false positive ,8.607272099994589
2,74,Fosvarsspiller,U14,13,Højre,3,2,Warmup/Klip_2\Klip_2.mp4,Link,0.6805130999418907
3,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_1\Klip_1_1.mp4,highest free man,3.7003581000026315
4,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_25\Klip_25_1.mp4,highest free man,3.5424958000076003
5,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_53\Klip_53_1.mp4,highest free man,2.629414099967107
6,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_33\Klip_33_1.mp4,link out,3.032509899989236
7,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_14\Klip_14_1.mp4,switch play,4.027347700030077
8,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_35\Klip_35_1.mp4,highest free man,7.71404569997685
9,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_31\Klip_31_1.mp4,highest free man,1.4042448000400327
10,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_27\Klip_27_1.mp4,highest free man2,6.431847599975299
11,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_37\Klip_37_1.mp4,highest free man,4.180690800014418
12,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_8\Klip_8_2.mp4,switch play2,2.2820478999638
13,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_50\Klip_50_1.mp4,false switch play,2.8060915000387467
14,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_17\Klip_17_2.mp4,link out,2.013510499964468
15,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_38\Klip_38_1.mp4,switch play,2.6315639999811538
16,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_47\Klip_47_1.mp4,highest free man,5.343003499961924
17,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_40\Klip_40_1.mp4,switch play,4.569981299981009
18,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_19\Klip_19_1.mp4,switch play,3.3463760999729857
19,74,Fosvarsspiller,U14,13,Højre,3,2,Pictures/Klip_46\Klip_46_1.mp4,pass it over,1.9051213000202551
